@relation 'cellcycle0.names'

@attribute cln3-1                                  numeric
@attribute cln3-2                                  numeric
@attribute clb2-2                                  numeric
@attribute clb2-1                                  numeric
@attribute alpha0                                  numeric
@attribute alpha7                                  numeric
@attribute alpha14                                 numeric
@attribute alpha21                                 numeric
@attribute alpha28                                 numeric
@attribute alpha35                                 numeric
@attribute alpha42                                 numeric
@attribute alpha49                                 numeric
@attribute alpha56                                 numeric
@attribute alpha63                                 numeric
@attribute alpha70                                 numeric
@attribute alpha77                                 numeric
@attribute alpha84                                 numeric
@attribute alpha91                                 numeric
@attribute alpha98                                 numeric
@attribute alpha105                                numeric
@attribute alpha112                                numeric
@attribute alpha119                                numeric
@attribute cdc15_10                                numeric
@attribute cdc15_30                                numeric
@attribute cdc15_50                                numeric
@attribute cdc15_70                                numeric
@attribute cdc15_80                                numeric
@attribute cdc15_90                                numeric
@attribute cdc15_100                               numeric
@attribute cdc15_110                               numeric
@attribute cdc15_120                               numeric
@attribute cdc15_130                               numeric
@attribute cdc15_140                               numeric
@attribute cdc15_150                               numeric
@attribute cdc15_160                               numeric
@attribute cdc15_170                               numeric
@attribute cdc15_180                               numeric
@attribute cdc15_190                               numeric
@attribute cdc15_200                               numeric
@attribute cdc15_210                               numeric
@attribute cdc15_220                               numeric
@attribute cdc15_230                               numeric
@attribute cdc15_240                               numeric
@attribute cdc15_250                               numeric
@attribute cdc15_270                               numeric
@attribute cdc15_290                               numeric
@attribute cdc28_0                                 numeric
@attribute cdc28_10                                numeric
@attribute cdc28_20                                numeric
@attribute cdc28_30                                numeric
@attribute cdc28_40                                numeric
@attribute cdc28_50                                numeric
@attribute cdc28_60                                numeric
@attribute cdc28_70                                numeric
@attribute cdc28_80                                numeric
@attribute cdc28_90                                numeric
@attribute cdc28_100                               numeric
@attribute cdc28_110                               numeric
@attribute cdc28_120                               numeric
@attribute cdc28_130                               numeric
@attribute cdc28_140                               numeric
@attribute cdc28_150                               numeric
@attribute cdc28_160                               numeric
@attribute elu0                                    numeric
@attribute elu30                                   numeric
@attribute elu60                                   numeric
@attribute elu90                                   numeric
@attribute elu120                                  numeric
@attribute elu150                                  numeric
@attribute elu180                                  numeric
@attribute elu210                                  numeric
@attribute elu240                                  numeric
@attribute elu270                                  numeric
@attribute elu300                                  numeric
@attribute elu330                                  numeric
@attribute elu360                                  numeric
@attribute elu390                                  numeric
@attribute class {R.11.02.03.01,R.12.04.02,R.01.04,R.43.01.03.09,R.32.01,R.20.01.17,R.12.04.01,R.14.10,R.20.09.07.03,R.16.03.03,R.10.03.01.01.11,R.42.01,R.01.05,R.20.03,R.01.03.01.03,R.10.01.09.05,R.11.02.03.04,R.12.10,R.01.05.25,R.16.19.03,R.11.04.03.01,R.34.11.03.07,R.42.04.05,R.10.01.03.05,R.14.04,R.16.01,R.43.01.03.05,R.42.16,R.12.01.01,R.01.07.01,R.20.09.07,R.32.07,R.01.03.07,R.01.05.02.07,R.01.06,R.20.09.04,R.20.01.13,R.01.06.02.01,R.20.01.27,R.11.06.02,R.14.07.02,R.10.01.05.01,R.20.09.13,R.14.07.02.02,R.01.01.06.06.01.03,R.12.07,R.14.13,R.10.03.01,R.10,R.16.03.01,R.42.04,R.34.01.01.01,R.01.01,R.02.01,R.11,R.20.01.01.01,R.01.05.13.01,R.20.01.03,R.01.20.15,R.11.04.01,R.01.03.01,R.14.07.11,R.20.09.18,R.42.27.03,R.10.03.01.01.09,R.20.01.07,R.42.04.03,R.20.01.15,R.01.01.06.04.02,R.14.07.04,R.20.09.16,R.14.01,R.11.02.03.04.03,R.01.06.06.11,R.14.13.01.01,R.14.07.09,R.10.03.02,R.01.07,R.20.01.10,R.01.02,R.99,R.01.01.06.05,R.32.01.01,R.10.01.05.03,R.10.03.04.03,R.01.01.09.06.01,R.14.13.01,R.01.03.04.03,R.02.13.03,R.01.20.19,R.01.05.09.04,R.11.04.03.05,R.14.07.03,R.10.01.03,R.42.25,R.32,R.14.07.05,R.42.10.03,R.02.19,R.10.01.05.03.01,R.01.03.04,R.20.09.01,R.02.13,R.11.02.03.01.04,R.02.16.01,R.11.04.02,R.12.04.03,R.18.02.01,R.16.19,R.01.06.05,R.12,R.10.03.01.03,R.16.21.07,R.02.10,R.01.01.11.03.01,R.34.01.01.03,R.20.09.07.27,R.12.01,R.42.08,R.10.03.04.05,R.20.03.01.01,R.11.02.03.04.01,R.20.01.23,R.01.01.03.02.01,R.32.01.09,R.34.11.03.13,R.01.04.04,R.14.07,R.14.07.11.01,R.32.01.03,R.01.06.02.02,R.40.01,R.01.01.09.04.01,R.42.19,R.11.04.03,R.01.01.09.07.01,R.01.03.10,R.02.16,R.01.06.06,R.01.02.07,R.01.01.09.05,R.32.07.03,R.20.01.01.01.01,R.34.07.01,R.20.01.21,R.34.01.01,R.01.01.11.04.01,R.20.01.03.01,R.30.01,R.14,R.01.01.13,R.01.01.06.05.01,R.11.02.03.01.01,R.02.04,R.01.01.06.02.01,R.12.04,R.20.01.25,R.38,R.01.01.03.05.01,R.40.10.02.02.01,R.14.07.01,R.01.02.02.09,R.20.09.07.25,R.20.01.01.07.07,R.01.03.16.01,R.40.20,R.10.03.03,R.01.06.10,R.01.03.01.01,R.02.45,R.14.13.04,R.20.01.01.07,R.01.01.06.05.01.01,R.20.09.18.09.01,R.10.01.05,R.01.01.09.02,R.30.01.05.05.01,R.11.04.03.03,R.02.01.03,R.01.01.09.03.01,R.18.02.09,R.42.10,R.20.09.07.05,R.20.01.03.03,R.16.21.17,R.01.03.04.01,R.01.05.06.07,R.11.02.01,R.18.02.01.01.01,R.01.01.03.03.01}
@data
0.15,-0.327917,-0.22,0.07,-0.15,-0.15,-0.21,0.17,-0.42,-0.44,-0.15,0.24,-0.1,0.0572,0.18,0.42,-0.25,-0.01,-0.13,0.77,-0.21,0.43,-0.16,0.09,-0.23,0.03,-0.04,-0.12,-0.28,-0.44,-0.09,0.12,0.06,-0.04,0.31,0.59,0.34,-0.28,-0.09,-0.44,0.31,0.03,0.57,0,0.02,-0.26,-0.19,-0.77,-0.17,-0.19,0.13,-0.36,-0.55,-0.07,-0.01,0.03,0.27,0.49,0.85,0.66,-0.24,0.03,0.09,0.3,-0.12,0.24,0.18,-0.24,0.11,-0.12,0.37,0.07,-0.09,-0.32,0.04,-0.48,0.04,R.11.02.03.01
-1.22,-0.27,-0.1,0.23,-0.14,-0.71,0.1,-0.32,-0.4,-0.58,0.11,0.21,0.09,0.57,-0.14,0.29,0.01,0.04,0.05,0.55,-0.08,0.33,-0.37,-0.22,-0.16,0.04,0.53,-0.25,0.08,-0.24,0.37,-0.22,0.16,-0.21,0.03,0.03,0.48,0.105,0.22,-0.06,0.08,0.56,0.48,-0.47,-0.45,-0.41,-0.36,-0.22,0.22,-0.28,0.41,-0.8,0.42,0.05,-0.47,1.06,-2.82,0.38,-0.22,0.47,0.89,0.48,0.8,-1.54,-0.3,-0.24375,0.39,0.18,0.28,0.15,0.4,0.24,0.22,-0.27,-0.1,0.34,0.02,R.12.04.02
-0.6,1.01,0.24,0.65,-0.05,-0.53,-0.47,-0.06,0.11,-0.07,0.25,0.46,0.12,0.49,-0.42,0.28,-0.3,-0.18,-0.3,0.68,-0.24,0.22,-0.43,-1.33,-1.53,-1.53,-0.37,-1.65,-0.71,-1.53,-0.1,-1.15,-0.33,-1.15,-0.19,-0.84,0.52,-0.0825,1.18,0.88,1.8,2.24,2.34,1.43,1.27,1.18,1.55,1.58,1.34,0.01,0.53,-0.8,-0.16,-0.61,-0.9,-0.07,-0.96,-0.53,-0.66,0.0572674,-0.27,-0.41,0.35,-0.09,-0.02,-0.0752055,0.25,-0.45,-0.83,-0.26,-0.16,0.3,0.21,-0.43,0.21,0.6,0.65,R.01.04
0.25,-0.79,-0.22,-0.54,-0.03,-0.27,0.17,-0.12,-0.27,0.06,0.23,0.11,0.03,-0.27,-0.24,0.36,-0.11,0,-0.27,0.46,0.23,-0.06,-0.236667,-0.02,0,0.07,0.14,0.17,0.23,0.19,-0.1,0,-0.21,0.01,-0.13,-1.38,0.16,0.05,0.29,0.04,0.39,-0.21,0.29,0,0,0.03,0.39,-0.87,-0.13,-0.71,0.2,-0.73,0.28,0.25,0.1,0.06,0.18,0.5,0.33,0.06,0.045,-0.35,0.44,0.49,0.23,0.06,0.32,0.12,0.12,0.29,-0.1,-0.41,-0.65,-0.07,-0.35,-0.19,0.15,R.43.01.03.09
-0.12,-0.54,-0.12,-0.18,0,-0.01,0.12,-0.23,-0.13,0.25,0.3,-0.27,0.38,-0.06,-0.18,-0.16,-0.27,-0.16,0.09,0.09,0.22,0,-0.109565,0.08,0.11,-0.49,0.25,-0.04,0.55,0.17,0.33,-0.09,-0.49,0.16,-1.35,-0.39,0.42,-0.31,0.14,0.08,0.54,0.65,0.25,-0.16,-0.58,0.14,0.26,0.3,0.07,-0.5,0,-0.4,0.2,0.21,-0.11,0.46,-0.19,-0.08,0.04,-0.22,0.0310811,-0.07,0.05,-0.3,-0.35,0.07,0.09,0.21,-0.4,-0.18,0.12,0.33,-0.03,-0.16,0.33,0.28,0.01,R.32.01
-0.22,-0.86,-0.25,0.89,-0.36,-0.42,0.29,-0.14,-0.19,-0.52,0.04,0.04,0.37,0.24,0.13,0.22,0.04,-0.24,-0.22,-0.1,0.22,0.61,0.13,-0.24,-0.59,-0.57,-0.09,-0.34,0.49,0.32,1.15,0.2,0.31,-0.28,-0.01,-0.48,-0.4,-0.59,0.54,-0.09,1.03,0.08,0.57,-0.26,-0.36,-0.55,-0.63,-0.66,-0.24,-0.82,-0.84,-0.89,0.57,0.64,0.54,0.66,0.28,-0.01,-0.26,0.11,0.04,0.71,0.81,-1.16,-0.71,-0.71,-0.24,-0.75,-0.11,-0.42,-0.01,0.53,0.58,1.49,0.72,0.51,0.29,R.20.01.17
-0.18,-1.03,-0.45,0.18,0.06,0.03,-0.16,-0.41,0.06,-0.56,0.04,0.13,-0.06,0.39,-0.28,0.37,0.04,-0.01,-0.21,0.61,-0.24,0.19,-0.21,-0.23,-0.16,-0.14,0.7,-0.43,0.32,-0.16,0.59,-0.18,0.37,-0.31,0.54,-0.76,0.37,-0.0825,0.1,-0.37,0.49,0.46,0.04,-0.29,-0.35,-0.39,-0.31,-0.5,-0.08,-0.0378767,0.12,-0.3,0.55,0.01,-0.02,0.43,-0.03,-0.04,0.31,0.0572674,0.15,-0.17,-0.11,-0.64,-0.51,-0.0752055,0.18,-0.09,-0.17,0.15,-0.05,0.4,0.8,-0.11,0.25,-0.59,0.39,R.01.04
0.06,-0.06,-0.14,0.14,-0.35,-0.91,-0.6,-0.32,-0.22,0.17,-0.15,0.2,0.13,-0.13,0.56,0.52,-0.23,0.02,0.5,0.69,-0.22,0.34,0.234706,0.265882,0.185882,-0.2,0.17,-0.36,0.21,-0.48,0.09,-0.22,0.14,1.29,-0.2,-0.22,-0.28,0.02,-0.1,-0.24,0.42,1.92,-0.32,-1.63,-0.144706,-0.0176471,-0.88,0.1,0.53,-0.24,0,-0.18,0.43,0.07,-0.17,0.58,-0.12,-0.07,-0.02,0.23625,0.25,-0.33,0.02,-0.51,-0.08,-0.15,0.36,0.43,0.36,0.25,0.12,-0.05,0.04,-0.05,-0.14,-0.27,-0.3,R.12.04.01
-1.18,-0.97,-0.43,0.11,0.36,-0.02,0.19,-0.45,0.06,0.23,-0.13,-0.08,0.17,0.13,0.09,-0.16,-0.18,-0.41,0.21,0.04,0.09,-0.15,0.74,0.34,-0.24,-0.14,-1.22,-0.16,-0.21,0.2,-0.47,0.35,0.11,0.52,-0.48,-0.13,-0.26,-0.03,-0.2,0.11,-0.05,0.34,-0.41,0.52,0.29,0.43,0.83,0.1,-0.31,-0.49,0.06,-0.67,-0.01,0,-0.1,0.68,0.33,0.13,-0.29,0.148286,-0.23,-0.33,0.33,-0.2,-0.1,-0.55,0.32,0.13,-0.34,-0.55,0.1,0.25,0.18,-0.05,0.27,0.49,0.04,R.14.10
-0.42,-0.34,-0.42,0.31,-0.26,-0.5,-0.06,-0.14,0.21,-0.08,0.32,-0.01,0.08,0,-0.12,0.08,0.06,-0.06,0.11,0.11,0.17,0.11,-0.06,-0.15,-0.03,0.11,-0.06,0.41,-0.67,0.29,-0.08,0.3,-0.19,0.23,-0.01,0.06,-0.17,0.07,0.11,0.27,0.0752,-0.29,-0.29,0.14,-0.06,0.11,0,-0.17,0.21,-0.2,0.26,-0.73,-0.04,0.21,-0.2,0.75,-0.14,0.06,-0.04,-0.21,0.0358824,0.05,0.2,-0.6,-0.27,-0.48,-0.07,-0.19,0.06,-0.08,0.23,0.49,0.33,0.06,0.16,0.24,0.11,R.20.09.07.03
