@relation 'eisen0.names'

@attribute alpha_0                                 numeric
@attribute alpha_7                                 numeric
@attribute alpha_14                                numeric
@attribute alpha_21                                numeric
@attribute alpha_28                                numeric
@attribute alpha_35                                numeric
@attribute alpha_42                                numeric
@attribute alpha_49                                numeric
@attribute alpha_56                                numeric
@attribute alpha_63                                numeric
@attribute alpha_70                                numeric
@attribute alpha_77                                numeric
@attribute alpha_84                                numeric
@attribute alpha_91                                numeric
@attribute alpha_98                                numeric
@attribute alpha_105                               numeric
@attribute alpha_112                               numeric
@attribute alpha_119                               numeric
@attribute elu_0                                   numeric
@attribute elu_30                                  numeric
@attribute elu_60                                  numeric
@attribute elu_90                                  numeric
@attribute elu_120                                 numeric
@attribute elu_150                                 numeric
@attribute elu_180                                 numeric
@attribute elu_210                                 numeric
@attribute elu_240                                 numeric
@attribute elu_270                                 numeric
@attribute elu_300                                 numeric
@attribute elu_330                                 numeric
@attribute elu_360                                 numeric
@attribute elu_390                                 numeric
@attribute cdc15_10                                numeric
@attribute cdc15_30                                numeric
@attribute cdc15_50                                numeric
@attribute cdc15_70                                numeric
@attribute cdc15_90                                numeric
@attribute cdc15_110                               numeric
@attribute cdc15_130                               numeric
@attribute cdc15_150                               numeric
@attribute cdc15_170                               numeric
@attribute cdc15_190                               numeric
@attribute cdc15_210                               numeric
@attribute cdc15_230                               numeric
@attribute cdc15_250                               numeric
@attribute cdc15_270                               numeric
@attribute cdc15_290                               numeric
@attribute spo_0                                   numeric
@attribute spo_2                                   numeric
@attribute spo_5                                   numeric
@attribute spo_7                                   numeric
@attribute spo_9                                   numeric
@attribute spo_11                                  numeric
@attribute spo5_2                                  numeric
@attribute spo5_7                                  numeric
@attribute spo5_11                                 numeric
@attribute spo__early                              numeric
@attribute spo__mid                                numeric
@attribute heat_0                                  numeric
@attribute heat_10                                 numeric
@attribute heat_20                                 numeric
@attribute heat_40                                 numeric
@attribute heat_80                                 numeric
@attribute heat_160                                numeric
@attribute dtt_15                                  numeric
@attribute dtt_30                                  numeric
@attribute dtt_60                                  numeric
@attribute dtt_120                                 numeric
@attribute cold_0                                  numeric
@attribute cold_20                                 numeric
@attribute cold_40                                 numeric
@attribute cold_160                                numeric
@attribute diau_540                                numeric
@attribute diau_660                                numeric
@attribute diau_780                                numeric
@attribute diau_900                                numeric
@attribute diau_1020                               numeric
@attribute diau_1140                               numeric
@attribute diau_1260                               numeric
@attribute class {R.14.04,R.11.02.03.04,R.43.01.03.05,R.42.01,R.20.09.07,R.01.05.25,R.16.01,R.01.06.02.01,R.01.04,R.20.01.15,R.12.01.01,R.01.05,R.34.01.01.01,R.14.07,R.01.07.01,R.42.16,R.11.02.03.01,R.32.01.01,R.11.04.03.01,R.14.10,R.34.11.03.07,R.11.06.02,R.16.03.03,R.16.19.03,R.11.04.01,R.20.09.18,R.20.03,R.14.13.01.01,R.11.04.03.05,R.14.07.05,R.10.01.05.01,R.10.03.01,R.18.02.01,R.42.04.05,R.16.03.01,R.01.06,R.10.03.02,R.10.01.03,R.01.06.05,R.01.05.09.07,R.14.07.02,R.01.01.06.06.01.03,R.20.01.03,R.01.01.09.06.01,R.10.03.01.03,R.14.07.02.02,R.42.04,R.20.01.01.01,R.99,R.20.09.04,R.01.02.07,R.32.07,R.01.03.01,R.16.21.07,R.14.07.11,R.02.01,R.01.01.06.05,R.20.01.13,R.10.01.09.05,R.01.06.06.11,R.20.09.07.03,R.14.01,R.01.05.02.07,R.01.04.04,R.42.19,R.02.13,R.20.09.13,R.14.13.01,R.42.04.03,R.02.13.03,R.12.07,R.32.01,R.01.03.04,R.40.01,R.01.03.01.03,R.12.04.01,R.12.10,R.14.07.04,R.02.16.01,R.20.01.07,R.01.05.06.07,R.12.04.03,R.10.01.05.03,R.12,R.11.04.03.03,R.11.02.03.01.04,R.11.04.02,R.14.07.09,R.20.01.10,R.01.02,R.20.09.01,R.01.01.09.04,R.20.09.16,R.32.01.03,R.10.01.05.03.01,R.01.03.04.03,R.01.20.15,R.01.01.11.03.01,R.01.01.09.04.01,R.10.03.01.01.09,R.12.01,R.12.04.02,R.01.01,R.01.01.03.02.01,R.01.01.09.07.01,R.01.06.02.02,R.43.01.03.09,R.10.01.03.05,R.01.06.06,R.32.05.01.03.03,R.20.01.01.01.01,R.10.03.01.01.11,R.01.07,R.11.02.03.04.03,R.20.01.03.01,R.01.01.11.04.01,R.02.19,R.01.01.03.05.01,R.14.13.04,R.01.02.02.09,R.11.02.03.01.01,R.20.01.21,R.01.06.10,R.01.01.06.02.01,R.10.03.03,R.20.01.17,R.01.03.01.01,R.01.03.16.01,R.01.01.13,R.01.01.06.05.01,R.32.01.09,R.32,R.01.03.10,R.20.09.18.09.01,R.01.01.09.02,R.11.02.03.04.01,R.20.01.03.03,R.16.07,R.01.01.06.05.01.01,R.38,R.01.01.09.03.01,R.20.01.01.07.07,R.01.01.03.03.01}
@data
-0.23,0.19,-0.36,0.14,-0.4,0.16,-0.09,-0.12,-0.14,-0.14,-0.38,-0.22,0.12,-0.43,-0.42,-0.45,-0.17,-0.27,0.29,-0.09,0.4,-0.1,0.46,0.15,-0.17,-0.18,-0.07,-0.34,0.3,-0.12,-0.06,-0.17,0.07,0.38,0.34,-0.13952,-0.15,-0.2,0.19,0.37,0.24,-0.07,-0.17856,0.24,0.45,0.23,0.5,-0.07,-0.28168,0.66,0.94,0.46,0.06,-0.18,0.39,-0.18,0.16,0.55,-0.06,-0.94,0.21,-0.71,-0.86,-0.45,0.42,1.04,0.65,0.53,-0.47,0.21,-0.29,-0.36,-0.1,-0.29,-0.18,-0.34,-0.47,-0.43,-1.06,R.14.04
-0.69,-0.89,-0.74,-0.56,-0.64,-0.18,-0.42,-0.34,-0.093956,0.01,-0.1,-0.17,-0.12,-0.43,-0.18,0.06,-0.2,-0.22,-0.04,0.34,0.42,-0.04,-0.14,0.15,0.26,0.4,0.24,0.25,0.37,-0.04,-0.27,0.11,-0.15,-0.07,0.06,0.23,0.07,-0.12,-0.12,0.0912143,0.04,0.25,0.1,0.3,-0.12,-0.23,-0.12,0.19,0.24,-0.0864945,0.41,0.36,0.98,-0.04,0.18,0.24,0.44,0.32,-0.22,-0.71,-0.34,-0.45,-0.3,-0.45,0.58,-0.22,0.1,0.19,-0.32,-0.01,-0.29,0.31,0.21,0.07,0.18,-0.14,-0.2,-0.43,-1.51,R.11.02.03.04
0.04,0.01,-0.81,-0.181875,-0.3,0.49,0.08,0.19,-0.03,-0.32,-0.34,-0.22,-0.03,-0.06,0.06,0.07,0.1,0.03,-0.18,-0.2,-0.12,0.16,-0.17,0.1,-0.14,-0.01,-0.15,0.04,0.23,-0.04,0.07,0.06,0.7,0.36,0.37,0.3,-0.04,0.19,-0.45,0.21,-1.12,-0.04,0.3,0.88,-0.49,-0.23,-0.04,-0.2,0.45,0.52,0.62,0.48,0.65,-0.14,-0.14,-0.49,-0.04,0.14,-0.1,-0.2,0.01,-0.4,-0.23,-0.04,0.25,-0.27,0.1,0.1,-0.2,0.28,-0.17,0.26,0.07,-0.17,0.103718,-0.1,-0.23,-0.51,-1.4,R.43.01.03.05
-0.36,-0.17,-0.22,-0.34,-0.36,0.03,-0.2,-0.42,-0.15,0.06,-0.2,-0.1,-0.15,-0.4,-0.3,-0.14,-0.64,-0.15,-0.03,0.1,-1.03,-0.23,-0.23,-0.18,-0.17,0.1,-0.03,0.11,-0.14012,0.07,-0.03,0.26,-0.04,0.75,0.7,0.14,-0.06,-0.2,0.07,0.44,0.37,-0.01,0.15,0.03,-0.51,-0.49,-0.2,-0.23,-0.64,0.11,0.89,0.52,0.87,-0.86,0.57,0.19,-0.27,-0.22,0.39,0.42,0.55,0.46,0.37,-0.06,-0.56,0.07,0.1,0.19,-0.54,0.167407,-0.14,-0.14,-0.15,-0.18,0.33,0.16,-0.3,0.49,0.44,R.42.01
0.31,0.12,0.34,0.61,0.18,0.28,0.14,-0.19,-0.07,-0.01,0.11,0.48,0.19,-0.01,-0.14,-0.17,0.14,0.03,0.01,-0.47,-0.27,0.16,0.21,0.07,0.06,0.06,-0.22,-0.06,0.06,-0.34,-0.47,-0.12,-0.51,-0.15,0.06,-0.38,-0.49,-0.4,-0.18,-0.32,-0.25,-0.58,-0.76,-0.54,-0.07,-0.3,-0.6,-0.22,0.38,0.52,0.59,0.58,0.66,-0.29,0.03,0.15,0.74,1.06,-0.3,-0.45,-0.36,-0.106,-0.4,-0.3,0.06,-0.06,-0.1,-0.23,-0.36,-2.06,1.02,0.24,0.15,0.1,0.23,-0.1075,-0.09,0.01,-0.27,R.20.09.07
-0.17,-0.32,-0.34,-0.42,-0.25,-0.3,0.19,0.26,0.1,-0.23,0.2,-0.29,-0.2,-0.07,0.29,0.68,-0.1,0.29,-0.49,-0.45,-0.3,-0.03,-0.2,-0.38,-0.27,-0.07,0.07,0.03,-0.58,0.03,-0.03,-0.32,-0.0556098,0.25,-0.09,0.33,0.2,0.15,-0.04,-0.22,0.26,0.54,0.26,0.69,0.16,-0.2,-1,0.14,0.16,0.43,0.3,-0.58,0.4,-0.36,-0.1,-0.36,0.5,0.74,0.03,-0.07,0.46,0.1,0.12,0.01,-0.15,-0.79,-0.34,-0.67,-0.01,-0.27,0.37,-0.49,-0.0629268,0.25,0.24,-0.36,-0.3,0.24,-0.1,R.42.01
-0.29,0.31,-0.2,-0.04,-0.38,0.11,-0.2,-0.4,-0.12,0.42,-0.29,0.18,-0.04,-0.29,-0.67,0.23,-0.01,0.16,-0.15,-0.22,0.1,0.1,-0.17,-0.36,0.08,-0.42,-0.15,-0.58,-0.29,-0.54,-0.51,-0.23,-0.17,-0.56,-1.15,-0.32,0.39,0.7,0.25,-0.3,-0.69,-0.32,0.4,0.31,0.62,0.34,0.36,-0.1,-0.51,-0.42,0.11,0.28,0.31,-0.74,0.95,-0.58,0.84,1.7,-0.34,-0.47,-0.15,-0.23,-0.32,-0.14,-0.07,-0.71,-0.4,-0.3,-0.54,-0.09,0.04,-0.06,-0.69,0.66,-0.22,-0.62,-0.74,0.2,0.04,R.11.02.03.04
-0.29,-0.07,-0.34,-0.34,-0.36,-0.43,-0.4,-0.25,-0.06,-0.23,0.31,-0.03,-0.15,-0.27,-0.14,0.08,-0.58,-0.12,-0.4,-0.06,-0.25,-0.04,-0.27,-0.27,-0.06,0.21,0.24,0.53,0.03,0.41,0.36,0.06,-0.51,-0.62,-0.81,-0.47,-0.43,0.03,0.08,-0.03,0.19,-0.4,-0.32,-0.06,0.07,-0.22,-0.14,-0.2,-0.54,-0.442353,-0.04,-0.07,-0.258333,-0.43,-0.42,0.98,0.55,1.26,-0.27,-0.06,-0.49,-0.18,-0.1,-0.43,-0.92,-0.43,-0.23,-0.4,-0.01,-0.47,-0.76,-1.03,-0.04,0.03,-0.29,-0.43,-0.42,-0.64,-0.67,R.01.05.25
0.01,-0.69,-0.09,-0.09,0.25,0.21,-0.18,-0.4,-0.07,-0.09,0.52,0.07,-0.25,-0.3,0.25,0.14,0.14,0.29,-0.23,-0.58,-0.45,-0.22,-0.76,-0.97,-0.94,-0.54,-0.42,-0.27,-0.0989904,-0.14,-0.2,-0.3,-0.17,0.06,-0.22,-0.2,-0.17,0.11,0.12,-0.38,-0.09,-0.4,-0.47,-0.03,-0.29,0.11,-0.47,-0.06,-0.01,-0.01,0.08,0.15,0.41,-0.07,0.01,0.01,0.14,0.29,-0.32,-0.07,-0.45,-0.22,0.06,-0.15,-0.22,-0.56,-0.64,-0.29,0.12,-0.23,-0.15,-0.17,0.04,0.04,0.11,-0.1,-0.23,-0.04,0.14,R.16.01
-0.54,0.36,-0.22,-0.42,0.08,-0.12,0.15,-0.17,0.2,-0.27,-0.43,-0.22,-0.1,-0.29,0.01,-0.14,-0.04,-0.27,-0.06,-0.49,-0.04,-0.34,-0.47,-0.76,-0.36,-0.23,0.18,-0.2,-0.56,0.33,0.16,-0.12,-0.2,-0.15,-0.12,1.24,-1.12,-0.14,-0.22,0.89,0.45,-0.29,-0.2,0.00312727,-1.74,0.29,-0.54,-0.71,0.41,-0.18,0.75,0.65,0.58,0.18,0.03,0.91,0.99,0.53,-0.17,0.86,0.03,0.25,0.36,-0.17,-0.38,-0.43,-0.64,-0.54,-0.15,0.26,-0.34,0.55,0.1,-0.18,0.08,-0.1,-0.326667,0.29,-0.237174,R.11.02.03.04
